	song	spectral_centroid_mean	spectral_centroid_var	spectral_bandwidth_mean	spectral_bandwidth_var	spectral_contrast_mean	spectral_contrast_var	spectral_flatness__mean	spectral_flatness__var	spectral_rolloff__mean	spectral_rolloff__var	poly_features_mean	poly_features_var	tonnetz_mean	tonnetz_var	zero_crossing_rate_mean	zero_crossing_rate_var	chroma_stft_mean	chroma_stft_var	chroma_cens_mean	chroma_cens_var	harmonic_mean	rms_mean	rms_var	tempogram_mean	tempogram_var	percussive_mean	target	mfcc1_mean	mfcc1_var	mfcc2_mean	mfcc2_var	mfcc3_mean	mfcc3_var	mfcc4_mean	mfcc4_var	mfcc5_mean	mfcc5_var	mfcc6_mean	mfcc6_var	mfcc7_mean	mfcc7_var	mfcc8_mean	mfcc8_var	mfcc9_mean	mfcc9_var	mfcc10_mean	mfcc10_var	mfcc11_mean	mfcc11_var	mfcc12_mean	mfcc12_var	mfcc13_mean	mfcc13_var	mfcc14_mean	mfcc14_var	mfcc15_mean	mfcc15_var	mfcc16_mean	mfcc16_var	mfcc17_mean	mfcc17_var	mfcc18_mean	mfcc18_var	mfcc19_mean	mfcc19_var	mfcc20_mean	mfcc20_var
0	hiphop.00066.wav	2245.0676185666525	753618.6451218494	2484.0931605018814	168087.8355007743	17.984611514902006	27.16186214835391	0.028572572	0.0016598363	4816.043267836427	2734493.237829902	1.9379542824101488	7.138567487880927	-0.005733536363537	0.0077139672294337	0.0793745921548723	0.0035135118561015	0.40981027	0.094299704	0.24400711	0.023793865	-0.1294166	0.18972842	0.015077826	0.1056784857288608	0.0191614932081476	-0.13409121	2	-111.97783	7437.5776	89.09961	1085.098	13.175455	605.1546	36.359657	402.68048	-3.2765715	260.9926	3.877864	173.79492	0.56019145	99.38533	6.327396	107.845795	-2.1887617	131.35442	2.9669955	100.934265	-1.6431162	94.2776	-0.3779445	69.00191	-3.4785655	87.76178	0.7700505	73.93191	-0.22705074	51.956226	-3.190697	52.027626	-3.702309	47.35228	-3.995493	36.549446	-3.0225987	43.99787	-2.4588232	42.22461
1	hiphop.00054.wav	3258.3072483316496	837471.3801727481	3321.3390109022293	113648.58151522386	17.4934917968486	32.90085968360839	0.060354445	0.003978076	7619.44815155525	1728076.9743329606	1.3975747721329457	3.0270535589364886	0.0070922162309552	0.0021024467131393	0.1262363749516628	0.0059896990425017	0.44707796	0.091746606	0.27425456	0.008117748	0.1546823	0.12414034	0.0018567707	0.1412096120701425	0.0304819366376345	0.08730058	2	-104.79348	3082.2783	64.03617	657.0734	28.8045	613.87885	10.56003	250.39809	15.176523	202.37724	13.067325	90.35306	8.025533	117.13336	5.239075	113.18243	6.7465467	88.49429	5.1255465	65.00397	4.450881	66.73415	4.4701214	55.173832	3.357288	68.65793	2.427763	42.65677	0.18994237	44.75124	-1.5184565	37.89375	-2.5634263	35.954407	-1.191898	27.88048	-2.1913831	28.278633	-1.8783262	33.312927
2	hiphop.00069.wav	3297.9029245690413	997595.9339928244	3138.949019049233	86377.97075171498	18.173710094639347	34.17340543635235	0.046457164	0.0028096086	7079.552627882105	1451072.5493545795	2.649941362999153	9.621660589016065	0.0065762096132734	0.0030610486749982	0.1208822747486465	0.0070701680738916	0.48950434	0.089081265	0.27188915	0.009409634	-0.07122384	0.27175093	0.0068630297	0.1475446341544599	0.0296176334115209	-0.06653642	2	-59.28568	3871.5078	36.266663	934.71014	39.8319	578.5932	49.96692	392.62784	10.147771	276.82922	16.897055	127.95517	9.78029	156.0471	4.446478	124.64745	2.4262033	111.10523	1.7045093	94.94425	2.3705525	104.05356	3.9136555	71.440704	3.1900172	58.908363	2.6282756	41.467754	3.2219524	50.707108	1.4744266	37.62522	-0.6930604	36.27593	-3.158557	31.722725	-2.0991607	29.215261	-2.3765256	36.156567
3	hiphop.00002.wav	1490.6835757271929	633571.6973547735	1910.490628949522	233566.166116424	20.49505891706817	65.18703794886696	0.003067817	3.7237387e-05	3095.0940196309457	3407199.4334651213	1.048214092721962	1.6508318149359869	-0.0213280787252206	0.008178054816211	0.058711571925754	0.0024811409677019	0.40424496	0.09223005	0.26454377	0.0133499205	-0.01413517	0.09347894	0.0011247408	0.1386540453496885	0.0269376878460717	-0.026748588	2	-202.88803	4657.7275	132.37215	1036.3481	12.017283	805.33093	43.74681	317.36142	-10.215273	344.2897	17.121582	208.75688	-13.547271	178.8781	15.044368	127.90408	-16.248144	137.12375	9.423361	112.94323	-11.636703	132.07475	7.048088	78.88022	-4.321259	99.26022	0.82388306	91.072334	-5.606884	69.534805	1.2609922	54.927567	-6.9671035	61.7151	0.39286566	41.18751	-2.4253883	41.67059	-2.932968	38.800964
4	hiphop.00086.wav	2083.438900600618	443318.549732372	2198.235479630826	108959.31383834276	20.126408800054868	73.00727925550025	0.0066709127	9.980893e-05	4479.439167633411	1754818.990174267	0.7850736064217247	0.9902483667069656	-0.0067087709896697	0.0031135252433082	0.0798439916860015	0.0029374188091404	0.47974592	0.090254314	0.2643841	0.01343438	-0.0039104326	0.07905619	0.001801847	0.1474194879889116	0.0324838701195354	-0.0026054822	2	-198.95903	3202.531	92.613266	739.32495	-19.521551	382.3856	39.53248	387.77097	-0.6365575	295.4982	33.590065	167.65819	-6.4646487	128.41353	27.523464	108.03872	-2.3977473	92.32404	14.995195	119.09422	-2.988018	108.51263	14.89381	96.2256	-3.3824236	86.73359	9.287608	64.94603	0.83695483	72.84726	8.28641	56.30275	-0.5855433	61.7821	-1.6162293	63.707428	1.2545995	46.0117	3.0456839	57.57021
5	hiphop.00048.wav	2345.299206533456	857674.2387983815	2682.1388437503183	279938.32527234306	16.693785009347437	23.405454334281632	0.02970482	0.0014677843	5395.29142800174	3649756.724362754	2.4439843737191604	10.187149263158176	0.0154524654174963	0.006670089259933	0.0775105888679427	0.0023901401195106	0.41653615	0.08897439	0.2647521	0.01323966	-0.008874516	0.23028027	0.012418146	0.134283880925262	0.0274649299836648	-0.0074600135	2	-87.56048	8917.725	79.35381	979.7997	25.052843	376.2356	45.152496	278.43005	11.185015	141.43428	18.171783	77.73753	3.5164936	68.278015	6.999547	42.63038	1.2637459	58.15561	2.3608532	56.368576	-1.7756817	41.96461	-0.008662602	26.86683	-2.7024157	30.090149	-0.48379943	24.406153	-5.2555757	27.576893	-3.8656323	22.984444	-2.5043306	26.839108	-4.674292	19.229387	-4.9827003	18.260378	-4.4252176	23.297024
6	hiphop.00059.wav	1949.4353477516893	653571.1431094507	2286.594892356929	279444.5772230278	17.55509380093949	24.638510445155973	0.013832638	0.00047482055	4219.933260676479	3017197.756121803	1.5715640643022633	3.264609435711921	0.002035327501366	0.0028420833477237	0.0629848825406032	0.0019482218264712	0.49971136	0.078168415	0.2711303	0.009821695	-0.09290089	0.15123579	0.0026952508	0.13699893993436	0.0275563212966623	-0.099192865	2	-133.19142	3341.9988	93.95369	886.0259	-2.2407174	674.372	50.202217	285.85706	12.499554	206.92104	15.040485	117.45043	11.499115	150.24498	10.2495985	78.861336	7.9568863	63.07952	10.791148	107.86415	1.9635901	51.691982	5.1979475	39.202206	1.0622268	39.759884	2.1670432	36.72949	-1.5164307	42.79514	-0.45047	36.745594	-2.465219	36.47853	-3.8745015	38.256527	-1.7067004	34.63756	-2.7685037	36.53667
7	hiphop.00041.wav	2702.65367301592	702441.2673843674	2666.603374456729	153341.71858060115	17.83189649577423	21.719626936020155	0.050571557	0.0054501817	5555.289084694602	2468908.2972641205	2.1717223208351486	7.616757842935358	-0.0049839824485903	0.0040336783022736	0.119366270123106	0.0045104601358031	0.42542815	0.09156281	0.26467404	0.013280996	0.0	0.18691297	0.011421139	0.1745900326952194	0.0399945000982889	8.685512e-15	2	-77.00406	4500.1143	68.31946	1107.4331	-0.6473915	451.57666	30.70986	467.75464	3.9499156	413.4369	5.493636	174.61975	3.3855941	150.6684	3.0454907	162.48859	5.648922	127.899254	4.724795	77.60414	4.2856207	73.1635	3.46072	79.47678	2.8874722	74.530266	1.4367249	60.208702	-2.2967932	74.999275	-2.5643852	62.042183	-5.014582	58.65225	-3.964501	71.96014	-5.7228184	92.264885	-0.04020675	79.62607
8	hiphop.00027.wav	2639.343177514054	1083240.6302808423	2632.706008504962	216096.894440545	17.49766885382537	21.23155997913124	0.04132101	0.0039583473	5633.429340662317	3264234.4605221497	1.5545182174439036	3.588624936858887	0.0093336647820186	0.0097970238681127	0.1025435766563944	0.007402318998746	0.4280005	0.09637492	0.24540558	0.023109423	-0.12781385	0.13499676	0.001794775	0.1519363679714736	0.032340704258722	-0.14031392	2	-109.31013	4277.419	76.754234	1350.1705	2.786183	673.5455	19.187447	313.01126	0.5631859	306.38208	8.245013	146.66214	-8.03061	207.2812	6.012482	118.96143	-4.275914	93.70035	3.6560717	101.17381	-1.5355548	116.64662	2.6638358	97.01283	2.283866	100.13804	2.864195	68.96081	-5.218628	79.345894	5.35988	81.39135	-6.171876	64.73349	2.2480874	64.41981	-2.446409	54.143585	-5.9339814	70.083435
9	hiphop.00074.wav	2774.785858833557	726544.48803579	2712.468921764065	117219.24619041228	17.557960106721275	30.73921729055551	0.043582126	0.0019682327	5968.685821037558	1551861.8431426024	2.3784402683202206	8.036876765450575	0.0141378897777309	0.0067592171011375	0.1107424140806264	0.0047002783728349	0.4739168	0.08400409	0.25638717	0.017598946	0.06588593	0.20822197	0.010352005	0.1330251452290338	0.0258911291871224	0.079994574	2	-68.91118	3307.9822	62.395336	706.3343	24.27625	689.5119	53.779545	388.8411	-1.9351077	240.55405	12.820083	106.84917	-4.355874	113.94944	12.3553915	73.34201	-0.21981908	99.905396	9.055807	71.13602	-0.9797525	64.579185	3.9336565	64.12992	1.9129126	73.159805	2.2534542	48.392326	-2.5323775	57.54788	-3.540817	42.838856	-2.9367027	44.603004	-3.6556938	32.83437	-3.4215841	31.410555	-3.7172928	30.679077
